district_name,district_code,churn_intake_enroll,percent_churn,percent_intake,stability_enroll,percent_stability,year
Abby Kelley Foster Charter Public (District),04450000,"1,437",3.2,2.2,"1,428",97.4,2020-21
Abington,00010000,"2,215",8.1,4.7,"2,125",95.8,2020-21
Academy Of the Pacific Rim Charter Public (District),04120000,544,4.2,2.9,540,96.5,2020-21
Acton-Boxborough,06000000,"5,322",3.7,2.3,"5,211",98.4,2020-21
Acushnet,00030000,942,6.8,3.8,914,96.1,2020-21
Advanced Math and Science Academy Charter (District),04300000,974,2.8,1.3,966,98.0,2020-21
Agawam,00050000,"3,626",9.8,5.2,"3,495",94.0,2020-21
Alma del Mar Charter School (District),04090000,809,3.5,1.5,798,97.9,2020-21
Amesbury,00070000,"2,010",13.7,7.6,"1,893",93.7,2020-21
Amherst,00080000,"1,104",15.8,8.6,"1,035",91.0,2020-21
Amherst-Pelham,06050000,"1,308",4.7,2.3,"1,286",97.0,2020-21
Andover,00090000,"5,697",4.2,2.4,"5,589",97.7,2020-21
Argosy Collegiate Charter School (District),35090000,579,5.4,2.2,574,95.5,2020-21
Arlington,00100000,"5,884",5.6,3.0,"5,758",96.6,2020-21
Ashburnham-Westminster,06100000,"2,284",5.8,4.1,"2,206",97.6,2020-21
Ashland,00140000,"2,833",6.4,4.0,"2,738",96.9,2020-21
Assabet Valley Regional Vocational Technical,08010000,"1,149",2.2,0.3,"1,149",97.8,2020-21
Athol-Royalston,06150000,"1,563",13.8,9.3,"1,435",93.9,2020-21
Atlantis Charter (District),04910000,"1,314",4.3,2.5,"1,298",96.9,2020-21
Attleboro,00160000,"5,958",10.0,4.7,"5,790",94.0,2020-21
Auburn,00170000,"2,576",5.0,2.8,"2,520",97.1,2020-21
Avon,00180000,710,5.4,3.7,689,97.5,2020-21
Ayer Shirley School District,06160000,"1,670",7.8,4.0,"1,609",95.9,2020-21
Barnstable,00200000,"4,971",10.4,6.4,"4,738",94.1,2020-21
Baystate Academy Charter Public School (District),35020000,481,6.0,3.1,468,96.6,2020-21
Bedford,00230000,"2,694",6.3,2.9,"2,628",96.1,2020-21
Belchertown,00240000,"2,212",5.7,3.1,"2,169",96.2,2020-21
Bellingham,00250000,"2,062",7.4,3.5,"2,000",95.7,2020-21
Belmont,00260000,"4,539",5.7,2.8,"4,431",96.6,2020-21
Benjamin Banneker Charter Public (District),04200000,345,4.1,2.0,345,95.9,2020-21
Benjamin Franklin Classical Charter Public (District),04470000,790,4.1,2.0,776,97.7,2020-21
Berkley,00270000,896,4.8,3.3,867,98.4,2020-21
Berkshire Arts and Technology Charter Public (District),04140000,385,9.6,4.4,372,93.5,2020-21
Berkshire Hills,06180000,"1,205",6.6,3.7,"1,169",96.3,2020-21
Berlin-Boylston,06200000,"1,089",8.3,5.1,"1,054",94.8,2020-21
Beverly,00300000,"4,749",7.9,2.8,"4,636",97.4,2020-21
Billerica,00310000,"4,750",7.2,4.0,"4,602",96.4,2020-21
Blackstone Valley Regional Vocational Technical,08050000,"1,236",1.5,0.7,"1,234",98.7,2020-21
Blackstone-Millville,06220000,"1,620",8.9,3.8,"1,572",95.7,2020-21
Blue Hills Regional Vocational Technical,08060000,898,4.2,1.6,896,96.0,2020-21
Boston,00350000,"50,831",13.4,9.4,"48,444",91.8,2020-21
Boston Collegiate Charter (District),04490000,728,2.1,0.7,725,98.3,2020-21
Boston Day and Evening Academy Charter (District),04240000,457,35.7,18.6,377,78.0,2020-21
Boston Green Academy Horace Mann Charter School (District),04110000,517,7.4,4.1,517,92.6,2020-21
Boston Preparatory Charter Public (District),04160000,674,1.9,0.6,672,98.4,2020-21
Boston Renaissance Charter Public (District),04810000,965,7.2,4.8,946,94.7,2020-21
Bourne,00360000,"1,736",10.4,5.0,"1,667",93.3,2020-21
Boxford,00380000,704,7.1,3.8,682,95.9,2020-21
Braintree,00400000,"5,648",7.3,3.8,"5,458",97.3,2020-21
Brewster,00410000,436,6.7,5.3,420,96.9,2020-21
Bridge Boston Charter School (District),04170000,342,3.8,1.8,341,96.5,2020-21
Bridgewater-Raynham,06250000,"5,467",7.4,5.0,"5,303",95.5,2020-21
Brimfield,00430000,272,5.5,1.5,268,95.9,2020-21
Bristol County Agricultural,09100000,449,4.2,1.1,449,95.8,2020-21
Bristol-Plymouth Regional Vocational Technical,08100000,"1,322",2.3,0.4,"1,322",97.7,2020-21
Brockton,00440000,"15,995",12.2,6.9,"15,405",92.3,2020-21
Brooke Charter School (District),04280000,"2,096",4.5,2.9,"2,070",96.7,2020-21
Brookfield,00450000,274,7.3,2.9,268,94.8,2020-21
Brookline,00460000,"7,135",7.7,3.3,"6,945",94.9,2020-21
Burlington,00480000,"3,533",8.8,4.4,"3,406",96.4,2020-21
Cambridge,00490000,"6,946",9.2,4.0,"6,757",93.9,2020-21
Canton,00500000,"3,255",5.7,3.6,"3,163",97.0,2020-21
Cape Cod Lighthouse Charter (District),04320000,256,5.1,3.1,251,96.8,2020-21
Cape Cod Regional Vocational Technical,08150000,651,8.4,2.9,636,93.7,2020-21
Carlisle,00510000,595,3.5,2.7,582,98.6,2020-21
Carver,00520000,"1,526",6.2,4.3,"1,484",96.4,2020-21
Central Berkshire,06350000,"1,569",6.7,3.5,"1,522",96.3,2020-21
Chelmsford,00560000,"4,987",6.2,3.3,"4,853",96.5,2020-21
Chelsea,00570000,"6,410",13.1,6.9,"6,048",92.4,2020-21
Chesterfield-Goshen,06320000,120,12.5,10.8,107,98.1,2020-21
Chicopee,00610000,"7,165",11.4,6.0,"6,867",93.0,2020-21
Christa McAuliffe Charter Public (District),04180000,405,3.0,1.0,402,97.8,2020-21
City on a Hill Charter Public School Circuit Street (District),04370000,307,10.4,0.0,307,89.6,2020-21
Clarksburg,00630000,195,4.1,2.6,190,98.4,2020-21
Clinton,00640000,"1,922",9.8,6.0,"1,836",94.4,2020-21
Codman Academy Charter Public (District),04380000,357,7.6,3.9,351,94.0,2020-21
Cohasset,00650000,"1,460",3.1,1.6,"1,443",98.1,2020-21
Collegiate Charter School of Lowell (District),35030000,"1,049",9.1,5.2,"1,023",93.3,2020-21
Community Charter School of Cambridge (District),04360000,309,2.9,1.6,304,98.7,2020-21
Community Day Charter Public School - Gateway (District),04260000,402,1.7,1.2,400,98.8,2020-21
Community Day Charter Public School - Prospect (District),04400000,400,0.3,0.3,399,100.0,2020-21
Community Day Charter Public School - R. Kingman Webster (District),04310000,404,3.7,2.7,400,97.3,2020-21
Concord,00670000,"2,059",5.4,3.6,"2,005",97.4,2020-21
Concord-Carlisle,06400000,"1,324",1.4,0.7,"1,317",99.2,2020-21
Conservatory Lab Charter (District),04390000,468,6.0,1.5,462,95.2,2020-21
Conway,00680000,131,6.1,5.3,124,99.2,2020-21
Danvers,00710000,"3,396",5.5,3.1,"3,311",97.0,2020-21
Dartmouth,00720000,"3,508",7.8,5.4,"3,428",94.4,2020-21
Dedham,00730000,"2,645",7.7,4.2,"2,584",94.5,2020-21
Deerfield,00740000,327,7.0,3.4,317,95.9,2020-21
Dennis-Yarmouth,06450000,"2,897",11.6,7.6,"2,750",93.8,2020-21
Dighton-Rehoboth,06500000,"2,670",4.2,2.2,"2,615",98.0,2020-21
Douglas,00770000,"1,210",8.1,6.0,"1,155",96.3,2020-21
Dover,00780000,497,5.4,4.2,476,98.7,2020-21
Dover-Sherborn,06550000,"1,198",2.8,1.2,"1,185",98.2,2020-21
Dracut,00790000,"3,802",7.4,4.0,"3,679",95.7,2020-21
Dudley Street Neighborhood Charter School (District),04070000,289,4.5,0.0,289,95.5,2020-21
Dudley-Charlton Reg,06580000,"3,561",7.0,3.7,"3,452",96.6,2020-21
Duxbury,00820000,"2,836",2.9,1.7,"2,803",98.3,2020-21
East Bridgewater,00830000,"2,147",5.9,3.3,"2,084",97.0,2020-21
East Longmeadow,00870000,"2,476",5.7,3.2,"2,407",97.1,2020-21
Eastham,00850000,207,11.1,6.3,194,94.8,2020-21
Easthampton,00860000,"1,501",7.6,3.2,"1,465",94.7,2020-21
Easton,00880000,"3,491",5.7,4.0,"3,415",96.8,2020-21
Edgartown,00890000,415,16.4,12.5,382,90.8,2020-21
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,404,8.7,6.7,386,95.6,2020-21
Erving,00910000,118,8.5,4.2,114,94.7,2020-21
Essex North Shore Agricultural and Technical School District,08170000,"1,572",2.0,0.7,"1,568",98.2,2020-21
Everett,00930000,"7,544",17.3,9.0,"7,022",89.6,2020-21
Excel Academy Charter (District),04100000,"1,414",3.6,2.1,"1,393",97.8,2020-21
Fairhaven,00940000,"1,973",7.2,3.2,"1,921",95.3,2020-21
Fall River,00950000,"10,693",13.9,7.7,"10,056",92.8,2020-21
Falmouth,00960000,"3,136",8.6,4.5,"3,010",95.3,2020-21
Farmington River Reg,06620000,118,7.6,7.6,109,100.0,2020-21
Fitchburg,00970000,"5,452",14.4,9.3,"5,133",91.6,2020-21
Florida,00980000,87,8.0,6.9,81,98.8,2020-21
Four Rivers Charter Public (District),04130000,223,6.7,2.7,217,95.9,2020-21
Foxborough,00990000,"2,531",5.8,3.3,"2,462",96.8,2020-21
Foxborough Regional Charter (District),04460000,"1,717",2.0,0.0,"1,717",98.0,2020-21
Framingham,01000000,"9,276",11.8,6.9,"8,796",93.1,2020-21
Francis W. Parker Charter Essential (District),04780000,408,6.1,2.2,399,96.0,2020-21
Franklin,01010000,"4,925",3.8,2.1,"4,830",98.2,2020-21
Franklin County Regional Vocational Technical,08180000,560,4.6,0.9,557,95.9,2020-21
Freetown-Lakeville,06650000,"2,809",6.4,3.9,"2,711",97.0,2020-21
Frontier,06700000,669,6.6,3.0,653,95.7,2020-21
Gardner,01030000,"2,372",14.0,7.2,"2,225",92.9,2020-21
Gateway,06720000,784,7.3,3.7,756,96.2,2020-21
Georgetown,01050000,"1,237",3.3,2.3,"1,220",98.0,2020-21
Gill-Montague,06740000,887,8.6,5.7,852,95.2,2020-21
Global Learning Charter Public (District),04960000,514,6.0,3.1,506,95.5,2020-21
Gloucester,01070000,"2,895",9.0,4.8,"2,772",95.3,2020-21
Gosnold,01090000,8,12.5,12.5,7,100.0,2020-21
Grafton,01100000,"3,199",4.6,2.8,"3,126",97.7,2020-21
Granby,01110000,735,6.3,3.0,718,96.0,2020-21
Greater Fall River Regional Vocational Technical,08210000,"1,463",3.1,0.8,"1,458",97.2,2020-21
Greater Lawrence Regional Vocational Technical,08230000,"1,642",1.9,0.9,"1,637",98.4,2020-21
Greater Lowell Regional Vocational Technical,08280000,"2,315",2.8,0.9,"2,309",97.4,2020-21
Greater New Bedford Regional Vocational Technical,08250000,"2,120",2.6,0.2,"2,119",97.4,2020-21
Greenfield,01140000,"1,602",8.6,4.9,"1,546",95.0,2020-21
Greenfield Commonwealth Virtual District,39010000,"1,191",38.1,28.5,969,76.1,2020-21
Groton-Dunstable,06730000,"2,296",2.8,1.5,"2,267",98.5,2020-21
Hadley,01170000,528,7.4,4.4,509,96.1,2020-21
Halifax,01180000,583,5.0,2.4,570,97.2,2020-21
Hamilton-Wenham,06750000,"1,751",7.3,2.6,"1,724",94.6,2020-21
Hampden Charter School of Science East (District),04990000,548,4.7,2.6,540,96.7,2020-21
Hampden Charter School of Science West (District),35160000,331,7.6,3.9,321,95.3,2020-21
Hampden-Wilbraham,06800000,"2,957",5.3,3.3,"2,878",97.3,2020-21
Hampshire,06830000,694,3.6,1.4,685,97.7,2020-21
Hancock,01210000,63,23.8,12.7,57,84.2,2020-21
Hanover,01220000,"2,657",2.6,1.8,"2,615",99.0,2020-21
Harvard,01250000,"1,036",5.3,2.9,"1,008",97.3,2020-21
Hatfield,01270000,405,4.7,2.0,400,96.5,2020-21
Haverhill,01280000,"8,153",9.8,5.3,"7,779",95.3,2020-21
Hawlemont,06850000,132,16.7,9.1,126,87.3,2020-21
Helen Y. Davis Leadership Academy Charter Public (District),04190000,204,12.3,6.4,200,89.5,2020-21
Hill View Montessori Charter Public (District),04550000,315,6.0,2.9,306,96.7,2020-21
Hilltown Cooperative Charter Public (District),04500000,218,0.0,0.0,218,100.0,2020-21
Hingham,01310000,"4,015",5.2,2.3,"3,946",96.5,2020-21
Holbrook,01330000,"1,321",8.7,4.6,"1,274",94.7,2020-21
Holland,01350000,204,5.9,4.9,198,97.0,2020-21
Holliston,01360000,"2,803",3.2,1.9,"2,758",98.4,2020-21
Holyoke,01370000,"5,545",15.6,7.9,"5,206",90.4,2020-21
Holyoke Community Charter (District),04530000,712,3.7,2.1,702,97.7,2020-21
Hoosac Valley Regional,06030000,"1,068",8.8,3.1,"1,041",93.6,2020-21
Hopedale,01380000,"1,111",2.7,1.2,"1,100",98.3,2020-21
Hopkinton,01390000,"4,014",3.6,2.3,"3,930",98.4,2020-21
Hudson,01410000,"2,513",8.2,4.1,"2,428",95.0,2020-21
Hull,01420000,839,8.9,5.5,804,95.0,2020-21
Innovation Academy Charter (District),04350000,801,4.2,1.5,793,96.7,2020-21
Ipswich,01440000,"1,631",4.3,2.5,"1,599",97.6,2020-21
King Philip,06900000,"1,975",3.6,1.8,"1,946",97.8,2020-21
Kingston,01450000,"1,063",5.7,2.4,"1,047",95.7,2020-21
KIPP Academy Boston Charter School (District),04630000,636,6.4,4.2,618,96.3,2020-21
KIPP Academy Lynn Charter (District),04290000,"1,623",1.8,0.5,"1,617",98.5,2020-21
Lawrence,01490000,"13,856",14.3,10.1,"12,931",92.6,2020-21
Lawrence Family Development Charter (District),04540000,807,3.7,2.2,789,98.5,2020-21
Learning First Charter Public School (District),04860000,687,6.1,3.1,678,95.1,2020-21
Lee,01500000,702,5.7,2.4,686,96.5,2020-21
Leicester,01510000,"1,428",7.9,4.3,"1,382",95.2,2020-21
Lenox,01520000,765,4.7,2.4,756,96.4,2020-21
Leominster,01530000,"6,130",10.2,5.7,"5,873",94.8,2020-21
Leverett,01540000,123,13.0,8.9,118,90.7,2020-21
Lexington,01550000,"7,072",5.1,2.7,"6,922",97.1,2020-21
Libertas Academy Charter School (District),35140000,268,8.2,4.1,265,92.8,2020-21
Lincoln,01570000,"1,158",19.8,8.5,"1,063",87.7,2020-21
Lincoln-Sudbury,06950000,"1,536",2.3,0.5,"1,530",98.0,2020-21
Littleton,01580000,"1,608",4.2,2.5,"1,574",97.8,2020-21
Longmeadow,01590000,"2,810",3.9,2.3,"2,757",98.1,2020-21
Lowell,01600000,"14,812",10.4,5.1,"14,187",94.1,2020-21
Lowell Community Charter Public (District),04560000,811,2.6,0.7,805,98.1,2020-21
Lowell Middlesex Academy Charter (District),04580000,101,35.6,16.8,89,73.0,2020-21
Ludlow,01610000,"2,460",5.7,2.4,"2,406",96.6,2020-21
Lunenburg,01620000,"1,652",8.7,3.9,"1,603",94.1,2020-21
Lynn,01630000,"16,224",9.7,5.9,"15,582",94.5,2020-21
Lynnfield,01640000,"2,198",3.3,2.1,"2,170",98.0,2020-21
Ma Academy for Math and Science,04680000,98,6.1,0.0,98,93.9,2020-21
Malden,01650000,"6,552",16.7,11.4,"6,077",89.9,2020-21
Manchester Essex Regional,06980000,"1,295",4.5,2.0,"1,275",97.1,2020-21
Mansfield,01670000,"3,594",5.3,3.3,"3,509",97.0,2020-21
Map Academy Charter School (District),35170000,224,18.8,6.7,209,87.1,2020-21
Marblehead,01680000,"2,765",5.2,2.0,"2,724",97.1,2020-21
Marblehead Community Charter Public (District),04640000,224,13.8,8.9,211,91.5,2020-21
Marion,01690000,426,10.8,5.4,409,92.9,2020-21
Marlborough,01700000,"5,007",13.4,7.5,"4,692",93.3,2020-21
Marshfield,01710000,"3,861",7.0,5.6,"3,761",95.6,2020-21
Martha's Vineyard,07000000,705,7.1,3.3,690,94.9,2020-21
Martha's Vineyard Charter (District),04660000,182,12.6,3.8,176,90.3,2020-21
Martin Luther King Jr. Charter School of Excellence (District),04920000,370,4.3,1.6,366,96.7,2020-21
Masconomet,07050000,"1,702",1.9,1.1,"1,686",99.1,2020-21
Mashpee,01720000,"1,543",9.4,4.8,"1,481",94.4,2020-21
MATCH Charter Public School (District),04690000,"1,242",7.6,5.5,"1,212",94.7,2020-21
Mattapoisett,01730000,417,3.8,2.6,407,98.5,2020-21
Maynard,01740000,"1,238",10.1,5.4,"1,185",93.9,2020-21
Medfield,01750000,"2,558",3.5,1.8,"2,519",98.0,2020-21
Medford,01760000,"4,112",8.9,4.7,"3,949",95.5,2020-21
Medway,01770000,"2,118",3.4,1.9,"2,078",98.5,2020-21
Melrose,01780000,"3,824",8.1,2.5,"3,739",96.1,2020-21
Mendon-Upton,07100000,"2,222",5.3,2.6,"2,170",97.0,2020-21
Methuen,01810000,"6,824",10.5,6.5,"6,473",94.8,2020-21
Middleborough,01820000,"3,005",6.5,3.1,"2,940",95.6,2020-21
Middleton,01840000,697,4.7,2.7,679,97.8,2020-21
Milford,01850000,"4,444",11.4,7.1,"4,241",93.1,2020-21
Millbury,01860000,"1,627",5.6,2.9,"1,600",96.0,2020-21
Millis,01870000,"1,188",4.4,2.4,"1,161",97.8,2020-21
Milton,01890000,"4,456",4.6,2.2,"4,382",97.0,2020-21
Minuteman Regional Vocational Technical,08300000,637,2.7,0.3,636,97.5,2020-21
Mohawk Trail,07170000,783,11.6,6.4,747,92.9,2020-21
Monomoy Regional School District,07120000,"1,826",6.7,3.1,"1,782",95.7,2020-21
Monson,01910000,882,7.0,2.6,865,94.8,2020-21
Montachusett Regional Vocational Technical,08320000,"1,430",3.6,0.7,"1,427",96.6,2020-21
Mount Greylock,07150000,"1,120",6.8,2.9,"1,094",95.4,2020-21
Mystic Valley Regional Charter (District),04700000,"1,664",5.6,2.3,"1,638",95.8,2020-21
Nahant,01960000,159,8.8,6.3,149,97.3,2020-21
Nantucket,01970000,"1,738",10.7,6.3,"1,673",92.8,2020-21
Narragansett,07200000,"1,398",10.1,5.4,"1,337",94.0,2020-21
Nashoba,07250000,"3,157",5.4,3.1,"3,096",96.6,2020-21
Nashoba Valley Regional Vocational Technical,08520000,735,3.7,1.8,727,97.4,2020-21
Natick,01980000,"5,389",5.4,3.4,"5,264",96.9,2020-21
Nauset,06600000,"1,477",6.9,2.7,"1,441",95.4,2020-21
Needham,01990000,"5,575",3.3,1.9,"5,491",98.6,2020-21
Neighborhood House Charter (District),04440000,816,3.4,1.3,815,96.7,2020-21
New Bedford,02010000,"13,279",14.7,6.8,"12,595",93.5,2020-21
New Heights Charter School of Brockton (District),35130000,759,3.0,0.1,759,97.0,2020-21
New Salem-Wendell,07280000,136,10.3,6.6,130,93.8,2020-21
Newburyport,02040000,"2,175",4.3,2.6,"2,127",97.8,2020-21
Newton,02070000,"12,393",5.4,2.8,"12,087",97.2,2020-21
Norfolk,02080000,"1,002",3.1,1.6,989,98.2,2020-21
Norfolk County Agricultural,09150000,587,1.9,0.0,587,98.1,2020-21
North Adams,02090000,"1,346",12.4,8.3,"1,267",93.2,2020-21
North Andover,02110000,"4,636",5.2,3.1,"4,512",97.6,2020-21
North Attleborough,02120000,"4,116",7.7,3.6,"3,984",96.8,2020-21
North Brookfield,02150000,543,12.3,8.1,503,94.6,2020-21
North Middlesex,07350000,"3,026",10.6,5.0,"2,903",95.8,2020-21
North Reading,02170000,"2,351",3.0,1.8,"2,311",98.7,2020-21
Northampton,02100000,"2,694",8.5,4.7,"2,593",95.3,2020-21
Northampton-Smith Vocational Agricultural,04060000,537,4.3,1.9,529,97.2,2020-21
Northboro-Southboro,07300000,"1,371",2.8,1.3,"1,356",98.3,2020-21
Northborough,02130000,"1,580",6.5,3.6,"1,528",97.0,2020-21
Northbridge,02140000,"2,008",7.8,5.0,"1,930",95.9,2020-21
Northeast Metropolitan Regional Vocational Technical,08530000,"1,299",2.9,1.2,"1,296",97.3,2020-21
Northern Berkshire Regional Vocational Technical,08510000,510,5.3,0.2,509,94.9,2020-21
Norton,02180000,"2,441",5.1,3.3,"2,368",97.8,2020-21
Norwell,02190000,"2,228",3.9,2.6,"2,183",98.8,2020-21
Norwood,02200000,"3,521",8.1,4.5,"3,389",95.9,2020-21
Oak Bluffs,02210000,458,15.5,12.0,416,93.0,2020-21
Old Colony Regional Vocational Technical,08550000,566,2.8,0.9,564,97.5,2020-21
Old Rochester,07400000,"1,148",3.5,1.7,"1,133",97.8,2020-21
Old Sturbridge Academy Charter Public School (District),35150000,282,1.4,0.7,280,99.3,2020-21
Orange,02230000,480,11.0,10.0,454,94.3,2020-21
Orleans,02240000,184,10.3,6.5,175,94.3,2020-21
Oxford,02260000,"1,525",7.9,4.9,"1,458",96.3,2020-21
Palmer,02270000,"1,273",15.4,8.5,"1,205",89.4,2020-21
Pathfinder Regional Vocational Technical,08600000,616,4.5,1.1,611,96.2,2020-21
Paulo Freire Social Justice Charter School (District),35010000,275,14.5,5.1,267,88.0,2020-21
Peabody,02290000,"6,000",8.7,4.6,"5,790",95.2,2020-21
Pelham,02300000,113,17.7,7.1,108,86.1,2020-21
Pembroke,02310000,"2,649",3.4,2.3,"2,597",98.5,2020-21
Pentucket,07450000,"2,277",4.5,2.3,"2,233",97.5,2020-21
Petersham,02340000,122,2.5,1.6,120,99.2,2020-21
Phoenix Academy Public Charter High School Lawrence (District),35180000,178,25.8,15.7,157,84.1,2020-21
Phoenix Academy Public Charter High School Springfield (District),35080000,238,31.9,20.2,210,77.1,2020-21
Phoenix Charter Academy (District),04930000,242,20.7,12.0,223,86.1,2020-21
Pioneer Charter School of Science (District),04940000,806,3.3,1.0,801,97.3,2020-21
Pioneer Charter School of Science II (PCSS-II) (District),35060000,377,9.8,4.5,371,91.6,2020-21
Pioneer Valley,07500000,653,9.0,5.8,637,93.2,2020-21
Pioneer Valley Chinese Immersion Charter (District),04970000,571,3.2,0.9,566,97.7,2020-21
Pioneer Valley Performing Arts Charter Public (District),04790000,412,9.5,5.3,394,94.7,2020-21
Pittsfield,02360000,"5,163",8.7,4.1,"5,014",94.9,2020-21
Plainville,02380000,663,10.7,6.6,626,94.6,2020-21
Plymouth,02390000,"7,331",6.6,3.6,"7,107",96.8,2020-21
Plympton,02400000,220,5.5,5.5,209,99.5,2020-21
Prospect Hill Academy Charter (District),04870000,"1,128",7.3,5.0,"1,124",93.1,2020-21
Provincetown,02420000,161,25.5,18.6,137,87.6,2020-21
Quabbin,07530000,"2,185",8.7,5.0,"2,115",94.5,2020-21
Quaboag Regional,07780000,"1,210",8.6,3.6,"1,176",94.3,2020-21
Quincy,02430000,"9,921",9.9,5.7,"9,527",94.2,2020-21
Ralph C Mahar,07550000,640,8.1,3.6,629,93.5,2020-21
Randolph,02440000,"2,857",14.7,9.3,"2,645",92.1,2020-21
Reading,02460000,"4,026",4.5,3.5,"3,957",97.3,2020-21
Revere,02480000,"7,567",12.0,7.1,"7,181",93.3,2020-21
Richmond,02490000,154,3.2,1.3,152,98.0,2020-21
Rising Tide Charter Public (District),04830000,691,9.4,4.1,673,93.0,2020-21
River Valley Charter (District),04820000,293,4.1,1.7,288,97.6,2020-21
Rochester,02500000,493,6.1,5.7,477,97.1,2020-21
Rockland,02510000,"2,262",8.7,4.4,"2,197",94.1,2020-21
Rockport,02520000,788,6.9,3.3,770,95.3,2020-21
Rowe,02530000,63,0.0,0.0,63,100.0,2020-21
Roxbury Preparatory Charter (District),04840000,"1,666",9.3,5.0,"1,642",92.0,2020-21
Sabis International Charter (District),04410000,"1,598",5.1,3.0,"1,561",97.2,2020-21
Salem,02580000,"3,975",12.3,5.8,"3,801",92.5,2020-21
Salem Academy Charter (District),04850000,495,0.8,0.0,495,99.2,2020-21
Sandwich,02610000,"2,411",7.2,4.0,"2,332",95.9,2020-21
Saugus,02620000,"2,536",9.3,4.9,"2,427",94.8,2020-21
Savoy,02630000,47,6.4,2.1,46,95.7,2020-21
Scituate,02640000,"2,899",3.8,1.7,"2,856",97.9,2020-21
Seekonk,02650000,"2,112",5.8,3.6,"2,049",97.1,2020-21
Sharon,02660000,"3,580",5.2,2.7,"3,507",97.2,2020-21
Shawsheen Valley Regional Vocational Technical,08710000,"1,316",2.2,0.3,"1,312",98.1,2020-21
Sherborn,02690000,395,2.3,1.3,392,98.5,2020-21
Shrewsbury,02710000,"6,160",6.1,3.6,"5,993",96.7,2020-21
Shutesbury,02720000,118,6.8,5.1,112,98.2,2020-21
Silver Lake,07600000,"1,758",6.1,3.9,"1,699",97.2,2020-21
Sizer School: A North Central Charter Essential (District),04740000,380,6.6,3.4,367,96.7,2020-21
Somerset,02730000,"1,666",10.4,3.1,"1,623",96.2,2020-21
Somerset Berkley Regional School District,07630000,"1,035",5.3,1.1,"1,027",95.4,2020-21
Somerville,02740000,"4,857",9.2,3.9,"4,718",93.9,2020-21
South Hadley,02780000,"1,829",6.6,4.0,"1,782",95.9,2020-21
South Middlesex Regional Vocational Technical,08290000,831,5.1,1.9,819,96.3,2020-21
South Shore Charter Public (District),04880000,"1,043",9.1,6.5,"1,023",92.7,2020-21
South Shore Regional Vocational Technical,08730000,647,1.7,0.2,647,98.3,2020-21
Southampton,02750000,464,5.4,3.9,448,98.0,2020-21
Southborough,02760000,"1,264",6.2,4.4,"1,216",97.5,2020-21
Southbridge,02770000,"2,067",20.1,9.6,"1,927",86.1,2020-21
Southeastern Regional Vocational Technical,08720000,"1,544",3.5,1.6,"1,535",97.1,2020-21
Southern Berkshire,07650000,678,9.1,5.2,648,95.5,2020-21
Southern Worcester County Regional Vocational Technical,08760000,"1,173",2.7,0.1,"1,172",97.4,2020-21
Southwick-Tolland-Granville Regional School District,07660000,"1,431",6.3,3.8,"1,397",96.0,2020-21
Spencer-E Brookfield,07670000,"1,391",8.6,5.0,"1,336",95.4,2020-21
Springfield,02810000,"25,510",14.1,8.6,"24,235",91.4,2020-21
Springfield Preparatory Charter School (District),35100000,382,3.7,1.6,380,96.8,2020-21
Stoneham,02840000,"2,323",6.3,4.0,"2,253",97.1,2020-21
Stoughton,02850000,"3,526",9.7,6.6,"3,390",94.2,2020-21
Sturbridge,02870000,827,6.5,4.8,797,97.0,2020-21
Sturgis Charter Public (District),04890000,871,5.6,2.9,854,96.3,2020-21
Sudbury,02880000,"2,577",3.7,2.3,"2,526",98.3,2020-21
Sunderland,02890000,206,16.5,9.2,189,91.0,2020-21
Sutton,02900000,"1,299",4.7,2.1,"1,279",96.8,2020-21
Swampscott,02910000,"2,198",7.0,3.3,"2,142",95.6,2020-21
Swansea,02920000,"2,085",6.3,2.5,"2,039",95.9,2020-21
Tantasqua,07700000,"1,792",3.8,1.1,"1,775",97.6,2020-21
Taunton,02930000,"8,052",8.9,4.5,"7,746",96.4,2020-21
TEC Connections Academy Commonwealth Virtual School District,39020000,"2,969",28.6,16.8,"2,613",81.2,2020-21
Tewksbury,02950000,"3,304",6.5,3.9,"3,194",96.8,2020-21
Tisbury,02960000,318,19.2,11.3,290,88.6,2020-21
Topsfield,02980000,604,5.8,3.0,591,96.3,2020-21
Tri-County Regional Vocational Technical,08780000,957,2.5,0.2,955,97.7,2020-21
Triton,07730000,"2,270",7.6,4.6,"2,191",95.8,2020-21
Truro,03000000,116,5.2,2.6,113,97.3,2020-21
Tyngsborough,03010000,"1,622",5.5,2.8,"1,585",96.7,2020-21
UP Academy Charter School of Boston (District),04800000,364,16.8,13.2,354,85.6,2020-21
UP Academy Charter School of Dorchester (District),35050000,720,13.3,8.5,709,88.0,2020-21
Up-Island Regional,07740000,433,12.7,9.7,398,95.2,2020-21
Upper Cape Cod Regional Vocational Technical,08790000,726,3.2,1.1,721,97.5,2020-21
Uxbridge,03040000,"1,701",8.2,4.0,"1,659",94.1,2020-21
Veritas Preparatory Charter School (District),04980000,420,3.6,0.0,420,96.4,2020-21
Wachusett,07750000,"6,832",6.4,3.6,"6,636",96.6,2020-21
Wakefield,03050000,"3,357",2.7,1.6,"3,310",98.8,2020-21
Wales,03060000,131,13.0,11.5,124,91.9,2020-21
